epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,2.06351375579834,1.9700615406036377,0.15242606401443481,0.01643911935389042
2,1.9463776350021362,1.9245240688323975,0.1655578464269638,0.1763722449541092
3,1.928146481513977,1.9823322296142578,0.16914556920528412,0.17038172483444214
4,1.8942735195159912,1.9735612869262695,0.19645407795906067,0.11382000893354416
5,1.8338700532913208,2.045881748199463,0.21571633219718933,0.05307885259389877
6,1.796341061592102,2.029463052749634,0.2252255380153656,0.05906938016414642
7,1.7848542928695679,1.811701774597168,0.2445574551820755,0.19921983778476715
8,1.75752854347229,2.2699320316314697,0.25211605429649353,0.14084702730178833
9,1.7402476072311401,1.7683145999908447,0.2611027956008911,0.27180272340774536
10,1.712914228439331,1.7254451513290405,0.29266083240509033,0.3144329786300659
11,1.6714967489242554,1.6299320459365845,0.3207356631755829,0.3581777513027191
12,1.6337558031082153,1.7722817659378052,0.34529241919517517,0.2755642235279083
13,1.5830955505371094,1.4738317728042603,0.3805775046348572,0.43605461716651917
14,1.5465182065963745,1.8711795806884766,0.39632171392440796,0.28949567675590515
15,1.5158507823944092,1.5556896924972534,0.40945348143577576,0.39607131481170654
16,1.478416919708252,1.5721923112869263,0.4273920953273773,0.39816105365753174
17,1.4551880359649658,1.501322627067566,0.4382249414920807,0.4062412977218628
18,1.448952078819275,1.541930913925171,0.44118568301200867,0.40443021059036255
19,1.4211230278015137,1.3525221347808838,0.446654349565506,0.473251610994339
20,1.400670051574707,1.6587533950805664,0.46215471625328064,0.35873502492904663
21,1.3801859617233276,1.360106348991394,0.462433397769928,0.47784897685050964
22,1.3634042739868164,1.369062900543213,0.46856385469436646,0.4703260064125061
23,1.3285632133483887,1.305808424949646,0.4778989255428314,0.5022290349006653
24,1.3330082893371582,1.4193035364151,0.4810686409473419,0.43842294812202454
25,1.3051719665527344,1.3503093719482422,0.4885924160480499,0.4892727732658386
26,1.2942129373550415,1.390152931213379,0.4932251274585724,0.4689328372478485
27,1.2882375717163086,1.3156113624572754,0.49876344203948975,0.49902480840682983
28,1.2689859867095947,1.3803867101669312,0.49862411618232727,0.46921148896217346
29,1.2667464017868042,1.7151156663894653,0.5068793892860413,0.35149067640304565
30,1.2469542026519775,1.4445202350616455,0.5095266103744507,0.4522151052951813
31,1.202052116394043,1.3182514905929565,0.527082085609436,0.4993034303188324
32,1.1813960075378418,1.2167716026306152,0.5343620181083679,0.5204792618751526
33,1.167725682258606,1.2956428527832031,0.5353721976280212,0.5082195401191711
34,1.1578145027160645,1.2626739740371704,0.5420251488685608,0.5114237666130066
35,1.1482574939727783,1.1870521306991577,0.541990339756012,0.5367790460586548
36,1.1360697746276855,1.2813053131103516,0.5422689914703369,0.5122596621513367
37,1.1126184463500977,1.2178372144699097,0.5486084222793579,0.5319030284881592
38,1.128989577293396,1.2572933435440063,0.5517085194587708,0.5182502269744873
39,1.116162896156311,1.3569368124008179,0.5543906092643738,0.48983004689216614
40,1.1122689247131348,1.1998049020767212,0.5531714558601379,0.5352466106414795
41,1.1015030145645142,1.1645026206970215,0.5579783320426941,0.5554472208023071
42,1.0801365375518799,1.180269479751587,0.5641087889671326,0.5498746037483215
43,1.083250880241394,1.1844662427902222,0.5643526315689087,0.5398439764976501
44,1.0762039422988892,1.5356413125991821,0.5643526315689087,0.46294233202934265
45,1.0689412355422974,1.338559865951538,0.5714583992958069,0.49317359924316406
46,1.0654162168502808,1.17594313621521,0.567139208316803,0.5518250465393066
47,1.0647492408752441,1.266958236694336,0.5740360021591187,0.5110058784484863
48,1.052330493927002,1.18281090259552,0.5721202492713928,0.5597659349441528
49,1.0233060121536255,1.195098876953125,0.5864363312721252,0.5491780638694763
