Class,Accuracy,Total Samples
happy,0.8173618940248027,1774
surprise,0.7990373044524669,831
neutral,0.6131386861313869,1233
disgust,0.5765765765765766,111
angry,0.5365344467640919,958
sad,0.4907778668805132,1247
fear,0.2822265625,1024
